Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
meal_id45,ghee roast chicken dosa quesadilla,dosa,"dry red chillies, coriander seeds, cumin seeds, fenugreek seeds, black pepper, clove, garlic, turmeric powder, boneless chicken, curd, lemon (juiced), for cooking chicken:, tamarind pulp, ginger (1 inch), garlic cloves, onion, tomato, ghee, red chilli powder, salt, crushed jaggery, dosa batter (for 4 dosas), processed cheese, ghee or oil (to crisp the dosa), coriander leaves, curry leaves (deep fried), curd, salt, zeera powder, sugar, red chilli powder",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,21.56
meal_id2,chicken minced salad,salad,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts",non-veg,fiber, anemia pregnancy hypertension rickets goitre kidney_disease obesity, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,28.0
meal_id46,steam bunny chicken bao,bao,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,38.08
meal_id211,lamb barley pot,barley,"pot barley, onions, worcestershire sauce, chilli flakes, mustard seeds, thick mutton chunks, thick neck of lamb chops, water or stock (to cover), salt, black pepper (freshly ground)",non-veg,iron, goitre, vegan_diet low_fat_diet high_fiber_diet,19.88
meal_id65,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",veg,magnesium, anemia hypertension scurvy heart_disease rickets kidney_disease obesity, low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet,30.8
meal_id212,al hachi chicken,chicken,"shallow fried chicken, bottle gourd (boiled and sun dried), onion, garlic, whole spices:, green cardamom, black cardamom, cinnamon sticks, turmeric, deggi mirch, fennel seeds powder, dry ginger powder, coriander powder, salt, mustard oil, desi ghee",non-veg,magnesium, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,20.16
meal_id48,almond and chicken momos (without shell),chicken,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",non-veg,calcium, anemia hypertension rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,25.76
meal_id213,berry parfait hazelnut white chocolate sable,chocolate,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin",veg,vitamin_a, anemia hypertension scurvy heart_disease rickets kidney_disease obesity, low_fat_diet omni_diet ketogenic_diet high_fiber_diet hormone_diet high_protien_diet,14.0
meal_id49,christmas tree pizza,pizza,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, vegan_diet high_fiber_diet,26.04
meal_id137,portugese fish stew,fish,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,26.04
meal_id127,cajun spiced turkey wrapped with bacon,wrapped,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))",non-veg,vitamin_c, cancer, high_protien_diet,35.56
meal_id213,berry parfait hazelnut white chocolate sable,chocolate,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin",veg,vitamin_a, anemia hypertension scurvy heart_disease rickets kidney_disease obesity, low_fat_diet omni_diet ketogenic_diet high_fiber_diet hormone_diet high_protien_diet,19.04
meal_id50,belgian pork chop,chop,"pork chop, pink pepper corn, green pepper corn, aromatic sauce, salt, black pepper, salted butter, refined oil, red cabbage, bell pepper chop, apricot, onion, red wine, ancho chilli, cayenne pepper, microgreen",veg,iron, pregnancy goitre, low_fat_diet paleo_diet vegan_diet high_fiber_diet high_protien_diet,35.84
meal_id186,strawberry &amp; pistachio breton tart,strawberry,"plain flour, baking powder, sea salt, unsalted butter, egg yoks, castor sugar, double cream, yolk, sugar, gelatine, butter, pistachio paste, strawberry",veg,vitamin_a, scurvy kidney_disease, high_protien_diet low_fat_diet,37.800000000000004
meal_id216,duo of chocolate and strawberry,strawberry,"dark chocolate, white chocolate, strawberries",veg,vitamin_c, scurvy hypertension heart_disease, high_fiber_diet ketogenic_diet,12.32
meal_id217,mustard-parmesan whole roasted cauliflower,roasted,"cauliflowers, garlic, halved, olive oil , dijon mustard , kosher salt , freshly ground black pepper , fresh parsley leaves, parmesan , lemon wedges",veg,chloride, cancer hypertension kidney_disease, alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,28.560000000000002
meal_id218,hassel back sweet potatoes,vanilla,"sweet potatoes, butter, brown sugar, pure vanilla extract, ground cinnamon, himalayan pink salt / rock salt",veg,chloride, pregnancy hypertension scurvy goitre kidney_disease obesity, alkaline_diet low_fat_diet omni_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,36.68
meal_id74,slow cooked spiced sangria,sangria,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy",veg,iron, anemia pregnancy scurvy heart_disease goitre kidney_disease obesity diabeties, vegan_diet low_fat_diet high_fiber_diet ketogenic_diet,13.44
meal_id219,mother christmas cake,cake,"tart apples (2 large), sugar, apple juice, eggs, vegetable oil, vanilla extracts, all-purpose flour, apple pie spice (cinnamon), salt, pecans, candied red cherries (halved), candied green cherried (halved), candied pineapple (diced), cashews (optional)",veg,potassium, pregnancy, low_fat_diet high_fiber_diet ketogenic_diet,33.32
meal_id220,matcha tea macarons,tea,"egg whites, breakfast sugar, icing sugar, almond powder, matcha powder, heavy cream, white chocolate",veg,vitamin_a, heart_disease, ketogenic_diet hormone_diet,19.88
meal_id221,"amaranthus granola with lemon yogurt, berries and marigold",yogurt,"popped amaranthus (cholai), oats, almonds, cinnamon powder, sunflower seeds, sesame seeds, honey, brown sugar, salt, olive oil, lemon rind, plain yogurt (whipped with lemon rind), blueberries",veg,calcium, pregnancy hypertension scurvy heart_disease goitre kidney_disease obesity, low_fat_diet omni_diet Mediterranean_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet,17.92
meal_id222,chocolate fudge cookies,cookie,"dark chocolate coverture, butter, sugar, eggs, flour, baking powder, salt, cocoa powder, vanilla essence",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,12.88
meal_id223,veg summer rolls,rice,"rice paper sheets, iceberg lettuce, carrot, bean sprouts, cucumber, tofu, basil, mint leaves, coriander, rice noodles (soaked in warm water for 20-25 minutes), peanuts, hoisin sauce, peanuts, garlic, oil, red chillies, water",veg,carbohydrates, diabeties, high_protien_diet,30.52
